City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,barkot,30.8167,78.2,15.9,15,100,1.8,IN,1674026493
231,martapura,-3.4167,114.85,26.05,83,40,1.03,ID,1674026493
232,severnyy,50.677,36.5532,1.02,93,100,7.0,RU,1674026494
233,port lincoln,-34.7333,135.8667,17.83,59,1,8.94,AU,1674026494
234,pundaguitan,6.3711,126.1689,27.67,74,18,3.52,PH,1674026494
235,tianpeng,30.9866,103.9393,8.26,26,0,1.81,CN,1674026495
236,saint-francois,46.4154,3.9054,0.53,100,75,3.09,FR,1674026495
237,lisakovsk,52.5369,62.4936,-15.4,68,0,2.51,KZ,1674026495
238,havelock,34.8791,-76.9013,13.33,87,100,3.6,US,1674026495
239,sofiyivka,48.0493,33.8746,7.49,77,100,8.93,UA,1674026496
240,padang,-0.9492,100.3543,30.03,64,92,3.03,ID,1674026092
241,vestmannaeyjar,63.4427,-20.2734,-6.33,77,0,8.44,IS,1674026496
242,awbari,26.5921,12.7805,11.54,24,0,3.52,LY,1674026496
243,mahon,39.8885,4.2658,7.31,76,40,4.12,ES,1674026496
244,tha bo,17.85,102.5814,26.59,61,20,3.09,TH,1674026496
245,bakel,14.905,-12.4568,22.55,14,100,4.52,SN,1674026497
246,asau,46.4333,26.4,5.71,79,42,3.76,RO,1674026497
247,nizhnyaya tura,58.6293,59.8118,-8.24,86,100,4.16,RU,1674026372
248,margate,51.3813,1.3862,-1.74,89,8,7.15,GB,1674026497
249,guerrero negro,27.9769,-114.0611,14.18,60,12,6.61,MX,1674026497
250,sayat,38.7839,63.8803,-3.07,55,100,2.65,TM,1674026498
251,binga,-17.6203,27.3414,22.56,88,100,4.36,ZW,1674026498
252,chuy,-33.6971,-53.4616,19.46,84,0,3.23,UY,1674026498
253,karema,-6.8205,30.4389,21.42,89,95,1.51,TZ,1674026498
254,tombouctou,20.0,-3.0,17.21,18,98,4.03,ML,1674026498
255,norman wells,65.282,-126.8329,-25.98,76,40,0.0,CA,1674026498
256,lubumbashi,-11.6609,27.4794,18.1,92,100,1.63,CD,1674026499
257,pontarlier,46.8333,6.25,-1.14,98,100,1.35,FR,1674026499
258,clyde river,70.4692,-68.5914,-29.87,76,20,6.69,CA,1674026499
259,moron,-34.6534,-58.6198,23.94,75,100,4.85,AR,1674026499
260,zhezkazgan,47.8043,67.7144,-12.01,72,0,7.0,KZ,1674026500
261,rivadavia,-33.1905,-68.4608,19.81,71,4,3.06,AR,1674026500
262,manicore,-5.8092,-61.3003,21.76,100,100,1.18,BR,1674026501
263,canon city,38.441,-105.2424,0.94,92,100,1.34,US,1674026501
264,mehamn,71.0357,27.8492,-2.03,74,0,5.66,NO,1674026501
265,praia,14.9215,-23.5087,22.3,83,0,10.8,CV,1674026501
266,hami,42.8,93.45,-6.77,38,53,2.15,CN,1674026495
267,port antonio,18.18,-76.4612,24.95,84,20,2.27,JM,1674026501
268,saint anthony,45.0205,-93.218,1.03,87,100,3.09,US,1674026502
269,baoqing,46.3317,132.2111,-14.05,86,100,1.68,CN,1674026502
270,raga,8.4596,25.678,23.51,19,2,4.11,SS,1674026502
271,axim,4.8699,-2.2405,25.7,84,97,2.09,GH,1674026502
272,aguililla,18.7333,-102.7333,15.53,79,72,1.43,MX,1674026503
273,mount gambier,-37.8333,140.7667,15.0,55,90,5.62,AU,1674026503
274,anadyr,64.75,177.4833,-27.72,69,0,5.0,RU,1674026503
275,nanlong,31.3533,106.0631,8.05,40,16,2.33,CN,1674026491
276,airai,-8.9266,125.4092,21.48,73,100,1.69,TL,1674026504
277,buluang,13.3068,123.3425,26.55,85,95,3.47,PH,1674026504
278,vao,-22.6667,167.4833,24.41,65,100,6.73,NC,1674026504
